age,gender,split,final
33,M,01:05:38,02:08:51
32,M,01:06:26,02:09:28
31,M,01:06:49,02:10:42
38,M,01:06:16,02:13:45
31,M,01:06:32,02:13:59
31,M,01:06:13,02:14:11
27,M,01:06:40,02:14:28
31,M,01:06:31,02:15:16
30,M,01:05:39,02:15:57
30,M,01:05:40,02:16:39
26,M,01:08:10,02:18:18
29,M,01:05:54,02:18:52
28,M,01:08:59,02:19:36
24,M,01:09:16,02:19:45
37,M,01:05:21,02:19:47
25,M,01:09:52,02:20:17
22,M,01:09:53,02:20:57
30,M,01:05:40,02:21:17
26,M,01:10:11,02:21:24
36,M,01:10:35,02:21:55
28,M,01:11:59,02:22:14
31,M,01:05:54,02:22:20
41,M,01:09:14,02:22:27
24,M,01:11:18,02:22:55
26,M,01:10:17,02:22:56
36,M,01:06:39,02:23:31
28,M,01:10:32,02:23:39
29,M,01:12:25,02:23:48
34,W,01:12:35,02:24:13
31,M,01:14:07,02:25:19
39,W,01:13:13,02:25:37
29,M,01:09:59,02:25:38
29,W,01:13:09,02:25:50
31,M,01:13:24,02:25:56
30,M,01:11:51,02:26:15
30,M,01:08:34,02:26:36
34,M,01:06:20,02:27:22
27,M,01:12:23,02:27:24
23,M,01:13:42,02:27:32
37,M,01:12:10,02:28:08
36,W,01:12:57,02:28:13
27,W,01:13:07,02:28:27
39,M,01:12:57,02:28:36
38,M,01:13:08,02:28:51
47,M,01:15:38,02:28:55
36,W,01:13:00,02:28:56
34,W,01:12:47,02:29:07
24,W,01:13:39,02:29:10
38,M,01:13:30,02:29:12
35,M,01:12:52,02:29:15
35,M,01:13:51,02:29:35
39,M,01:12:41,02:29:35
36,W,01:13:44,02:29:38
33,M,01:13:40,02:29:52
22,M,01:09:44,02:29:54
22,M,01:09:35,02:30:10
35,W,01:14:04,02:30:10
32,M,01:13:37,02:30:12
33,M,01:13:00,02:30:20
34,W,01:13:28,02:30:20
36,M,01:14:28,02:30:41
31,W,01:14:39,02:30:45
23,W,01:13:42,02:30:46
32,W,01:13:51,02:30:52
38,W,01:14:22,02:30:55
31,M,01:13:13,02:31:01
28,M,01:13:18,02:31:06
37,W,01:13:29,02:31:06
30,M,01:14:56,02:31:10
27,M,01:13:52,02:31:13
34,M,01:14:07,02:31:18
44,M,01:16:36,02:31:18
31,M,01:14:40,02:31:34
30,M,01:14:40,02:31:41
26,M,01:12:43,02:31:44
29,M,01:07:09,02:31:49
34,M,01:14:59,02:32:05
34,M,01:13:46,02:32:09
33,M,01:13:31,02:32:10
29,M,01:07:27,02:32:12
24,M,01:13:16,02:32:15
28,M,01:14:04,02:32:15
32,M,01:14:27,02:32:18
33,M,01:15:59,02:32:27
25,M,01:15:16,02:32:35
31,M,01:12:43,02:32:36
29,M,01:13:34,02:32:45
33,M,01:12:57,02:32:54
26,M,01:14:40,02:32:57
31,M,01:15:02,02:33:15
29,M,01:14:41,02:33:19
27,M,01:15:06,02:33:24
34,M,01:14:12,02:33:26
44,M,01:15:40,02:33:30
36,M,01:15:37,02:33:37
44,M,01:16:08,02:33:45
26,M,01:16:15,02:33:49
42,M,01:15:33,02:33:53
36,M,01:15:17,02:33:56
42,M,01:15:37,02:33:59
35,M,01:15:30,02:34:03
26,M,01:12:56,02:34:05
26,M,01:15:19,02:34:06
35,W,01:14:29,02:34:11
28,M,01:13:13,02:34:15
41,M,01:16:56,02:34:18
25,M,01:14:28,02:34:21
33,M,01:13:30,02:34:31
25,M,01:13:51,02:34:33
41,M,01:15:41,02:34:37
36,M,01:14:58,02:34:40
31,M,01:13:32,02:34:41
24,M,01:15:26,02:34:42
34,M,01:15:19,02:34:57
36,W,01:15:38,02:34:58
23,M,01:15:09,02:35:01
35,M,01:15:10,02:35:04
34,M,01:14:00,02:35:05
34,W,01:15:24,02:35:10
38,M,01:12:39,02:35:10
26,M,01:15:25,02:35:21
41,M,01:17:40,02:35:27
27,M,01:16:36,02:35:28
36,W,01:15:19,02:35:28
35,M,01:15:12,02:35:30
34,M,01:14:15,02:35:33
24,M,01:15:14,02:35:35
28,M,01:15:55,02:35:46
28,M,01:15:25,02:35:55
24,M,01:14:33,02:35:57
34,M,01:16:03,02:36:04
38,M,01:15:09,02:36:05
31,M,01:17:28,02:36:08
24,M,01:18:45,02:36:09
38,M,01:13:44,02:36:11
34,M,01:17:16,02:36:16
32,M,01:17:28,02:36:19
29,M,01:16:53,02:36:33
27,M,01:17:19,02:36:33
28,M,01:16:59,02:36:35
35,M,01:15:45,02:36:38
30,M,01:16:33,02:36:42
31,M,01:14:55,02:36:42
29,M,01:18:40,02:36:42
33,M,01:16:46,02:36:43
23,M,01:14:12,02:36:44
37,M,01:16:23,02:36:45
26,M,01:18:07,02:36:49
24,M,01:18:47,02:36:50
38,M,01:10:04,02:36:50
33,M,01:15:27,02:37:03
41,M,01:18:19,02:37:05
26,M,01:17:46,02:37:05
26,M,01:17:20,02:37:20
45,M,01:16:57,02:37:20
30,M,01:16:27,02:37:23
36,M,01:16:58,02:37:25
33,M,01:13:59,02:37:32
33,M,01:13:06,02:37:45
35,M,01:17:31,02:37:53
40,M,01:16:21,02:37:54
37,M,01:10:10,02:37:56
34,M,01:19:48,02:38:00
32,M,01:15:30,02:38:01
35,M,01:19:03,02:38:02
38,M,01:17:28,02:38:12
32,M,01:12:19,02:38:22
40,M,01:17:41,02:38:29
26,M,01:16:14,02:38:52
31,M,01:17:42,02:38:54
22,M,01:19:04,02:38:55
46,M,01:14:53,02:38:59
26,M,01:13:30,02:39:04
29,M,01:20:33,02:39:07
28,M,01:17:48,02:39:08
32,M,01:17:30,02:39:12
31,W,01:17:08,02:39:15
33,M,01:16:54,02:39:19
27,M,01:19:23,02:39:21
22,M,01:17:25,02:39:29
30,M,01:16:47,02:39:36
37,M,01:15:40,02:39:44
26,M,01:14:07,02:39:50
40,M,01:18:24,02:39:51
44,M,01:16:59,02:39:52
23,M,01:18:46,02:39:56
40,M,01:17:58,02:39:59
23,M,01:18:15,02:39:59
40,M,01:19:28,02:40:01
46,M,01:15:09,02:40:03
32,M,01:17:44,02:40:04
